City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Kaitangata,NZ,2022-04-20 18:02:28,-46.2817,169.8464,56.93,96,98,5.88
162,Adamas,GR,2022-04-20 18:05:28,36.7333,24.4333,58.77,73,0,21.79
163,Warrnambool,AU,2022-04-20 18:05:29,-38.3833,142.4833,52.81,78,83,7.96
164,Kalmunai,LK,2022-04-20 18:05:29,7.4167,81.8167,81.95,80,49,6.2
165,Quatre Cocos,MU,2022-04-20 18:05:30,-20.2078,57.7625,77.09,80,85,6.15
166,Buala,SB,2022-04-20 18:05:30,-8.145,159.5921,79.68,84,63,5.55
167,Rocha,UY,2022-04-20 18:05:31,-34.4833,-54.3333,80.28,38,3,8.9
168,Westport,US,2022-04-20 18:05:31,41.1415,-73.3579,58.24,36,0,12.66
169,Victoria,HK,2022-04-20 18:04:51,22.2855,114.1577,73.18,84,51,4.0
170,Nyurba,RU,2022-04-20 18:05:32,63.2842,118.3319,19.47,94,99,6.93
171,Hami,CN,2022-04-20 18:05:32,42.8,93.45,62.08,12,92,16.69
172,Grand Bank,CA,2022-04-20 18:05:32,47.0999,-55.765,43.99,92,100,33.11
173,Bereda,ES,2022-04-20 18:05:33,43.2686,-7.5406,52.41,65,14,5.5
174,Longyearbyen,SJ,2022-04-20 18:05:33,78.2186,15.6401,28.24,74,75,19.57
175,Ca Mau,VN,2022-04-20 18:05:34,9.1769,105.15,79.66,83,99,6.38
176,Abeche,TD,2022-04-20 18:05:34,13.8292,20.8324,95.76,14,96,2.06
177,Port Alfred,ZA,2022-04-20 18:03:23,-33.5906,26.891,66.18,91,13,13.38
178,Mar Del Plata,AR,2022-04-20 18:05:07,-38.0023,-57.5575,70.45,65,100,10.07
179,Husavik,IS,2022-04-20 18:05:34,66.0449,-17.3389,45.14,79,97,12.55
180,Tuy Hoa,VN,2022-04-20 18:05:35,13.0833,109.3,74.57,93,50,4.36
181,Waddan,LY,2022-04-20 18:05:36,29.1614,16.139,79.0,11,14,11.52
182,Zambezi,ZM,2022-04-20 18:05:36,-13.5432,23.1047,70.0,76,99,4.63
183,Lagoa,PT,2022-04-20 18:05:36,39.05,-27.9833,58.59,61,87,3.91
184,Pevek,RU,2022-04-20 18:05:37,69.7008,170.3133,12.81,87,99,2.71
185,Kemijarvi,FI,2022-04-20 18:05:37,66.7131,27.4306,45.7,89,95,4.68
186,Znamenskoye,RU,2022-04-20 18:06:38,57.1281,73.8282,39.33,86,94,5.19
187,Namatanai,PG,2022-04-20 18:06:38,-3.6667,152.4333,79.41,82,79,8.03
188,Korla,CN,2022-04-20 18:06:39,41.7597,86.1469,67.68,13,100,12.1
189,Miri,MY,2022-04-20 18:06:39,4.4148,114.0089,77.65,92,100,3.13
190,Czluchow,PL,2022-04-20 18:06:40,53.6672,17.3588,47.43,85,100,9.98
191,Aztec,US,2022-04-20 18:06:21,36.8222,-107.9929,71.01,12,7,3.0
192,Saldanha,ZA,2022-04-20 18:06:40,-33.0117,17.9442,60.48,86,36,8.66
193,Tasiilaq,GL,2022-04-20 18:06:40,65.6145,-37.6368,41.16,91,92,6.67
194,Varnavino,RU,2022-04-20 18:06:41,57.4035,45.0916,37.65,83,65,9.69
195,Jamestown,US,2022-04-20 18:01:49,42.097,-79.2353,48.52,45,0,9.22
196,Mandera,KE,2022-04-20 18:06:41,3.9366,41.867,86.32,54,62,9.37
197,Clyde River,CA,2022-04-20 18:06:41,70.4692,-68.5914,-0.51,89,84,7.52
198,Goderich,CA,2022-04-20 18:06:42,43.7501,-81.7165,42.91,64,46,5.86
199,Saint-Philippe,RE,2022-04-20 18:06:42,-21.3585,55.7679,78.39,85,53,3.87
200,Bluff,NZ,2022-04-20 18:06:43,-46.6,168.3333,56.8,97,99,3.0
201,Vieques,PR,2022-04-20 18:06:43,18.425,-65.8329,87.67,58,40,19.57
202,San Carlos De Bariloche,AR,2022-04-20 18:06:44,-41.1456,-71.3082,49.75,46,20,29.93
203,Haines Junction,CA,2022-04-20 18:06:44,60.7522,-137.5108,28.09,73,65,2.3
204,Bela,IN,2022-04-20 18:06:44,25.9333,81.9833,91.54,13,5,6.51
205,Ouargaye,BF,2022-04-20 18:06:45,11.5033,0.0572,98.91,24,100,3.27
