,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Torbay,CA,47.6666,-52.7314,39.76,95,100,3.44,fog
137,Broome,US,42.2506,-75.833,36.0,70,0,1.01,clear sky
138,New Norfolk,AU,-42.7826,147.0587,58.91,61,39,3.0,scattered clouds
139,Mocuba,MZ,-16.8392,36.9856,69.06,79,2,5.12,clear sky
140,Licata,IT,37.1071,13.9461,63.23,65,56,4.7,broken clouds
141,Tahta,EG,26.7693,31.5021,89.17,8,9,13.53,clear sky
142,Cabras,IT,39.93,8.5314,59.86,57,0,4.16,clear sky
143,Kaka,TM,37.3482,59.6143,91.09,20,76,17.36,broken clouds
144,Muros,ES,42.7762,-9.0603,52.09,92,23,3.83,few clouds
145,Tura,IN,25.5198,90.2201,87.17,51,87,1.95,overcast clouds
146,Qaanaaq,GL,77.484,-69.3632,8.87,73,68,7.27,broken clouds
147,Semnan,IR,35.5729,53.3971,63.14,63,100,4.5,light rain
148,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.01,91,66,7.29,broken clouds
149,Buraydah,SA,26.326,43.975,75.65,31,0,4.56,clear sky
150,Urucui,BR,-7.2294,-44.5561,74.52,55,82,2.59,broken clouds
151,Samarai,PG,-10.6167,150.6667,82.6,77,43,6.76,scattered clouds
152,Mount Isa,AU,-20.7333,139.5,89.37,27,10,14.97,clear sky
153,Bugiri,UG,0.5714,33.7417,69.93,84,92,4.99,overcast clouds
154,Mayo,US,38.8876,-76.5119,52.39,85,0,6.91,clear sky
155,Batagay-Alyta,RU,67.8006,130.4114,28.02,76,23,12.21,few clouds
156,Axim,GH,4.8699,-2.2405,78.64,88,98,5.12,overcast clouds
157,Tiksi,RU,71.6872,128.8694,35.44,74,97,17.76,overcast clouds
158,Nakamura,JP,32.9833,132.9333,63.93,57,81,6.11,broken clouds
159,Cockburn Town,TC,21.4612,-71.1419,77.05,68,100,18.75,overcast clouds
160,Lompoc,US,34.6391,-120.4579,62.78,86,0,11.5,clear sky
