City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
82,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
83,Bastrop,US,67.71,clear sky,32.7562,-91.8724,Best Budget Inn
84,Saint George,US,66.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
87,Ahipara,NZ,62.49,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
91,Brazzaville,CG,73.76,few clouds,-4.2658,15.2832,Hotel Muesse
92,Antalaha,MG,80.89,broken clouds,-14.9003,50.2788,Hotel Vitasoa
94,Houma,US,66.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
95,Airai,TL,76.1,broken clouds,-8.9266,125.4092,
96,Grand-Bourg,GP,75.15,overcast clouds,15.8835,-61.3148,Coco Beach Resort
97,Faanui,PF,81.54,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Russell,US,70.88,broken clouds,32.3502,-85.1999,Macs
103,Sorong,ID,84.2,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
105,Zhezkazgan,KZ,71.58,clear sky,47.8043,67.7144,Hotel Zumrat
106,Victoria,HK,83.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
107,Esperance,AU,69.64,few clouds,-33.8667,121.9,Hospitality Esperance
108,Cabo San Lucas,MX,74.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Georgetown,MY,88.95,scattered clouds,5.4112,100.3354,Cititel Penang
113,Ndjole,GA,73.35,overcast clouds,-0.1783,10.7649,Motel Kédyann
114,East London,ZA,61.74,clear sky,-33.0153,27.9116,Tu Casa
116,Mahebourg,MU,80.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Seminole,US,71.98,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
120,Enid,US,64.56,clear sky,36.3956,-97.8784,Ramada by Wyndham Enid
121,Kulhudhuffushi,MV,85.96,broken clouds,6.6221,73.07,Haajy Guest House 1
127,Ponta Do Sol,PT,63.72,few clouds,32.6667,-17.1,Hotel do Campo
128,Buala,SB,82.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
132,Mana,GF,77.88,scattered clouds,5.6592,-53.7767,LE SAMANA
134,Port Alfred,ZA,60.19,scattered clouds,-33.5906,26.891,The Halyards Hotel
139,Mocuba,MZ,69.06,clear sky,-16.8392,36.9856,Phama Lodge
140,Licata,IT,63.23,broken clouds,37.1071,13.9461,Villa Giuliana
141,Tahta,EG,89.17,clear sky,26.7693,31.5021,فندق الزيات
143,Kaka,TM,91.09,broken clouds,37.3482,59.6143,
145,Tura,IN,87.17,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
147,Semnan,IR,63.14,light rain,35.5729,53.3971,Semnan Tourist Hotel
148,Puerto Baquerizo Moreno,EC,71.01,broken clouds,-0.9,-89.6,Hotel los Algarrobos
149,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
150,Urucui,BR,74.52,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
151,Samarai,PG,82.6,scattered clouds,-10.6167,150.6667,Nuli Sapi
152,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
153,Bugiri,UG,69.93,overcast clouds,0.5714,33.7417,Gilgal Guest House
156,Axim,GH,78.64,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
158,Nakamura,JP,63.93,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
159,Cockburn Town,TC,77.05,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
160,Lompoc,US,62.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
161,Touros,BR,74.57,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
163,Luganville,VU,79.34,light rain,-15.5333,167.1667,The Espiritu Hotel
165,Bengkulu,ID,85.26,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
167,Lima,PE,67.89,clear sky,-12.0432,-77.0282,Hotel Kamana
170,Kavieng,PG,83.88,light rain,-2.5744,150.7967,Nusa Island Retreat
171,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
176,Xinyang,CN,61.83,light rain,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
177,Hithadhoo,MV,85.05,scattered clouds,-0.6,73.0833,Scoop Guest House
178,Atar,MR,70.25,broken clouds,20.5169,-13.0499,Oumou Elghoura
180,Bolobo,CD,71.15,overcast clouds,-2.1667,16.2333,Hotel de Stephen
182,Port Lincoln,AU,64.54,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
183,Jumla,NP,71.8,broken clouds,29.2747,82.1838,Royal Garden Hotel
184,Tashtyp,RU,72.25,overcast clouds,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
186,Lagoa,PT,60.48,few clouds,39.05,-27.9833,Casa Das Faias
187,Sao Francisco,BR,64.26,light rain,-15.9486,-44.8644,Pousada Peixe Vivo
189,Zaragoza,ES,60.03,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
190,Poum,NC,77.13,scattered clouds,-20.2333,164.0167,
192,Wagar,SD,88.02,clear sky,16.1525,36.2032,
193,Opuwo,,70.02,broken clouds,-18.0607,13.84,ABBA Guesthouse
194,Panzhihua,CN,91.96,clear sky,26.5851,101.7128,Electric Power Hotel
199,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
200,Asfi,MA,61.59,overcast clouds,32.2994,-9.2372,Hôtel Abda
201,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
203,Angoche,MZ,73.09,clear sky,-16.2325,39.9086,Guest House HESADA
204,Faya,SA,68.52,few clouds,18.3851,42.4509,املاك خالد الشعشوع
205,Hilo,US,74.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
206,Saint-Philippe,RE,82.22,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
208,Yulara,AU,73.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
210,Saint-Pierre,RE,82.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
211,Namibe,AO,72.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
212,Iranshahr,IR,91.74,clear sky,27.2025,60.6848,نیک سرشت
